CPU Name,Rating,Rank,Num Thread Execution units,Avg Speed,Stock Speed,Samples,Single Thread,maxTDP,turbospeed,cores per cpu,logicals per core,CPU First Seen in Charts,class,Other Names,URL (https://www.cpubenchmark.net/)
[Dual CPU] Intel Xeon Gold 5320 @ 2.20GHz,65979,41,104,3402,2200,1,2111,185,3400,26,2,11/2/2021,Server,Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,cpu.php?cpu=Intel+Xeon+Gold+5320+%40+2.20GHz&id=4594&cpuCount=2
[Dual CPU] AMD EPYC 7F52,65659,42,64,3495,3500,3,2407,240,3900,16,2,6/12/2020,Server,AMD EPYC 7F52 16-Core Processor,cpu.php?cpu=AMD+EPYC+7F52&id=3753&cpuCount=2
[Dual CPU] AMD EPYC 7313,65213,43,64,2994,3000,1,2749,155,3700,16,2,7/14/2021,Server,AMD EPYC 7313 16-Core Processor,cpu.php?cpu=AMD+EPYC+7313&id=4443&cpuCount=2
AMD EPYC 7R32,64727,44,96,2361,,4,1922,,3300,48,2,12/24/2020,Server,"AMD EPYC 7R32, AMD EPYC 7R32 48-Core Processor",cpu.php?cpu=AMD+EPYC+7R32&id=3894
[Dual CPU] Intel Xeon Platinum 8280 @ 2.70GHz,64291,45,112,2693,2700,3,2356,205,4000,28,2,1/27/2020,Server,Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,cpu.php?cpu=Intel+Xeon+Platinum+8280+%40+2.70GHz&id=3662&cpuCount=2
AMD Ryzen Threadripper 3970X,64030,46,64,3716.969203,3700,623,2697,280,4500,32,2,12/6/2019,Desktop,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu.php?cpu=AMD+Ryzen+Threadripper+3970X&id=3623
[Dual CPU] AMD Ryzen Threadripper PRO 3955WX,63885,47,64,3900,3900,2,2439,280,4300,16,2,9/25/2020,Desktop,AMD Ryzen Threadripper PRO 3955WX 16-Cores,cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3955WX&id=3846&cpuCount=2
[Dual CPU] Intel Xeon Gold 6258R @ 2.70GHz,63218,48,112,2639,2700,7,2333,205,4000,28,2,10/20/2020,Server,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,cpu.php?cpu=Intel+Xeon+Gold+6258R+%40+2.70GHz&id=3860&cpuCount=2
AMD Ryzen Threadripper PRO 3975WX,62801,49,64,3486,3500,71,2666,280,4200,32,2,10/5/2020,Desktop,AMD Ryzen Threadripper PRO 3975WX 32-Cores,cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851
[Dual CPU] Intel Xeon Gold 6248R @ 3.00GHz,62712,50,96,3246,3000,4,2264,205,4000,24,2,5/18/2020,Server,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,cpu.php?cpu=Intel+Xeon+Gold+6248R+%40+3.00GHz&id=3732&cpuCount=2
Intel Xeon Platinum 8380 @ 2.30GHz,62317,51,80,3394,2300,1,2385,270,3400,40,2,8/17/2021,Server,Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,cpu.php?cpu=Intel+Xeon+Platinum+8380+%40+2.30GHz&id=4483
[Dual CPU] Intel Xeon Platinum 8180 @ 2.50GHz,61751,52,112,2500,2500,1,2289,205,3800,28,2,3/3/2018,Server,Intel(R) Xeon(R) Platinum 8180 CPU @ 2.50GHz,cpu.php?cpu=Intel+Xeon+Platinum+8180+%40+2.50GHz&id=3207&cpuCount=2
[Dual CPU] Intel Xeon Silver 4316 @ 2.30GHz,60955,53,80,3397,2300,1,2382,150,3400,20,2,8/13/2021,Server,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,cpu.php?cpu=Intel+Xeon+Silver+4316+%40+2.30GHz&id=4481&cpuCount=2
AMD EPYC 74F3,60948,54,48,3200,3200,6,2975,240,4000,24,2,10/9/2021,Server,AMD EPYC 74F3 24-Core Processor,cpu.php?cpu=AMD+EPYC+74F3&id=4560
[Dual CPU] AMD EPYC 7402,58436,55,96,2798,2800,5,1761,180,3350,24,2,5/5/2020,Server,AMD EPYC 7402 24-Core Processor,cpu.php?cpu=AMD+EPYC+7402&id=3713&cpuCount=2
[Dual CPU] Intel Xeon Gold 6230R @ 2.10GHz,58230,56,104,2733,2100,3,2351,150,4000,26,2,2/10/2021,Server,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,cpu.php?cpu=Intel+Xeon+Gold+6230R+%40+2.10GHz&id=4070&cpuCount=2
AMD EPYC 7702P,58119,57,128,1998.285714,2000,7,2126,200,3350,64,2,9/19/2019,Server,AMD EPYC 7702P 64-Core Processor,cpu.php?cpu=AMD+EPYC+7702P&id=3555
AMD EPYC 7443P,58047,58,48,3130,2850,38,3002,200,4000,24,2,6/10/2021,Server,AMD EPYC 7443P 24-Core Processor,cpu.php?cpu=AMD+EPYC+7443P&id=4391
[Dual CPU] Intel Xeon Platinum 8171M @ 2.60GHz,57780,59,104,2600,2600,4,2109,165,3700,26,2,3/28/2018,Server,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,cpu.php?cpu=Intel+Xeon+Platinum+8171M+%40+2.60GHz&id=3220&cpuCount=2
AMD EPYC 7513,57408,60,64,2600,2600,5,2289,200,3650,32,2,6/9/2021,Server,AMD EPYC 7513 32-Core Processor,cpu.php?cpu=AMD+EPYC+7513&id=4383
AMD EPYC 7542,56728,61,64,2801,2900,4,2207,225,3400,32,2,11/14/2019,Server,AMD EPYC 7542 32-Core Processor,cpu.php?cpu=AMD+EPYC+7542&id=3604
[Dual CPU] Intel Xeon Gold 5220R @ 2.20GHz,56592,62,96,2197,2200,2,2394,150,4000,24,2,3/26/2021,Server,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,cpu.php?cpu=Intel+Xeon+Gold+5220R+%40+2.20GHz&id=4217&cpuCount=2
[Dual CPU] Intel Xeon Gold 6240R @ 2.40GHz,56476,63,96,2397,2400,2,2388,165,4000,24,2,5/26/2020,Server,Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz,cpu.php?cpu=Intel+Xeon+Gold+6240R+%40+2.40GHz&id=3739&cpuCount=2
[Dual CPU] AMD EPYC 7601,55888,64,128,2199,2200,9,1794,180,2700,32,2,12/8/2017,Server,AMD EPYC 7601 32-Core Processor,cpu.php?cpu=AMD+EPYC+7601&id=3142&cpuCount=2
[Dual CPU] AMD EPYC 7551,55708,65,128,1996,2000,14,1696,180,3000,32,2,9/21/2017,Server,AMD EPYC 7551 32-Core Processor,cpu.php?cpu=AMD+EPYC+7551&id=3089&cpuCount=2
AMD EPYC 7532,55358,66,64,2400,2400,1,2137,200,3300,32,2,8/15/2021,Server,AMD EPYC 7532 32-Core Processor,cpu.php?cpu=AMD+EPYC+7532&id=4482
[Dual CPU] Intel Xeon Platinum 8260M @ 2.30GHz,55297,67,96,2346,2300,1,2472,165,3900,24,2,10/15/2020,Server,Intel(R) Xeon(R) Platinum 8260M CPU @ 2.30GHz,cpu.php?cpu=Intel+Xeon+Platinum+8260M+%40+2.30GHz&id=3858&cpuCount=2
[Dual CPU] AMD EPYC 7401,55057,68,96,2000,2000,2,1834,155,3000,24,2,11/7/2017,Server,AMD EPYC 7401 24-Core Processor,cpu.php?cpu=AMD+EPYC+7401&id=3119&cpuCount=2
[Dual CPU] Intel Xeon Gold 6254 @ 3.10GHz,54869,69,72,3092,3100,4,2355,200,4000,18,2,6/26/2019,Server,Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz,cpu.php?cpu=Intel+Xeon+Gold+6254+%40+3.10GHz&id=3482&cpuCount=2
AMD Ryzen Threadripper 3960X,54735,70,48,3823.945455,3800,566,2679,280,4500,24,2,12/1/2019,Desktop,AMD Ryzen Threadripper 3960X 24-Core Processor,cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617
Intel Xeon Platinum 8358 @ 2.60GHz,54416,71,64,3398,2600,2,2382,250,3400,32,2,8/18/2021,Server,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,cpu.php?cpu=Intel+Xeon+Platinum+8358+%40+2.60GHz&id=4493
[Dual CPU] Intel Xeon Gold 6326 @ 2.90GHz,53600,72,64,3296,2900,3,2363,185,3500,16,2,12/16/2021,Server,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,cpu.php?cpu=Intel+Xeon+Gold+6326+%40+2.90GHz&id=4651&cpuCount=2
[Quad CPU] Intel Xeon E5-4667 v4 @ 2.20GHz,53402,73,144,2194,2200,1,1584,135,2900,18,2,1/15/2021,Server,Intel(R) Xeon(R) CPU E5-4667 v4 @ 2.20GHz,cpu.php?cpu=Intel+Xeon+E5-4667+v4+%40+2.20GHz&id=3902&cpuCount=4
[Dual CPU] Intel Xeon Gold 6238R @ 2.20GHz,53331,74,112,2197,2200,2,1875,165,4000,28,2,2/23/2021,Server,Intel(R) Xeon(R) Gold 6238R CPU @ 2.20GHz,cpu.php?cpu=Intel+Xeon+Gold+6238R+%40+2.20GHz&id=4132&cpuCount=2
,,,,,,,,,,,,,,,
<snip, over 3000 lines removed from sample>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Intel Celeron 1200MHz,159,4000,1,1200,1200,2,212,,-1,1,1,2/27/2009,Unknown,Intel(R) Celeron(TM) CPU 1200MHz,cpu.php?cpu=Intel+Celeron+1200MHz&id=717
Intel Atom E3815 @ 1.46GHz,159,4001,1,1464,1460,8,238,5,-1,1,1,5/16/2014,Desktop,"Intel(R) Atom(TM) CPU E3815 @ 1.46GHz, Intel(R) Atom(TM) CPU  E3815  @ 1.46GHz",cpu.php?cpu=Intel+Atom+E3815+%40+1.46GHz&id=2233
Intel Atom Z670 @ 1.50GHz,158,4002,2,1500,1500,4,95,3,-1,1,2,6/27/2011,Laptop,Intel(R) Atom(TM) CPU Z670 @ 1.50GHz,cpu.php?cpu=Intel+Atom+Z670+%40+1.50GHz&id=630
Intel Pentium 4 2.66GHz,157,4003,1,2660,2660,197,431,66.1,-1,1,1,1/11/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.66GHz,cpu.php?cpu=Intel+Pentium+4+2.66GHz&id=1071
Intel Pentium 4 2.20GHz,157,4004,1,2200,2200,17,379,57.1,-1,1,1,1/6/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.20GHz,cpu.php?cpu=Intel+Pentium+4+2.20GHz&id=1065
Intel Pentium III Mobile 1200MHz,156,4005,1,1200,1200,4,216,,-1,1,1,2/27/2009,Laptop,Intel(R) Pentium(R) III Mobile CPU 1200MHz,cpu.php?cpu=Intel+Pentium+III+Mobile+1200MHz&id=1151
Intel Pentium M 1000MHz,156,4006,1,1000,1000,4,222,7,-1,1,1,3/21/2009,Laptop,Intel(R) Pentium(R) M processor 1000MHz,cpu.php?cpu=Intel+Pentium+M+1000MHz&id=1163
Intel Celeron M 440 @ 1.86GHz,155,4007,1,1862.5,1860,49,440,27,-1,1,1,12/5/2008,Laptop,Intel(R) Celeron(R) M CPU 440 @ 1.86GHz,cpu.php?cpu=Intel+Celeron+M+440+%40+1.86GHz&id=702
Intel Pentium M 1200MHz,155,4008,1,1200,1200,2,166,12,-1,1,1,4/16/2009,Laptop,Intel(R) Pentium(R) M processor 1200MHz,cpu.php?cpu=Intel+Pentium+M+1200MHz&id=1165
Intel Pentium 4 3.83GHz,154,4009,2,3830,3830,1,237,,,1,2,5/6/2018,Desktop,Intel(R) Pentium(R) 4 CPU 3.83GHz,cpu.php?cpu=Intel+Pentium+4+3.83GHz&id=3256
AMD Athlon 64 2000+,154,4010,1,1000,1000,2,173,8,-1,1,1,11/20/2013,Unknown,AMD Athlon(tm) 64 Processor 2000+,cpu.php?cpu=AMD+Athlon+64+2000%2B&id=2096
